participant_id,original,surface,gist,novel
1,0,0,0,0
2,0.066666667,0.133333333,0.1875,0.428571429
3,0,0,0.0625,0
4,0.0625,0,0.0625,0
5,0,0,0.0625,0
6,0.0625,0.0625,0.0625,0
7,0.0625,0.0625,0.0625,0
8,0.0625,0,0.0625,0.125
9,0.1875,0.125,0.066666667,0.5
10,0.1875,0.266666667,0.133333333,0
11,0.071428571,0,0.0625,0.142857143
12,0,0.0625,0.0625,0
14,0.0625,0,0.0625,0.125
15,0.0625,0,0,0
16,0.0625,0.125,0.0625,0
17,0.133333333,0.125,0.0625,0
18,0.0625,0,0,0.25
19,0,0.0625,0.0625,0
20,0.1875,0.125,0,0
21,0,0,0,0
22,0,0.0625,0.0625,0.25
23,0.0625,0,0.0625,0.5
24,0.0625,0.0625,0.125,0
25,0.0625,0.0625,0.0625,0
27,0.0625,0.0625,0,0
28,0.0625,0.125,0.1875,0
29,0.0625,0,0,0.25
30,0,0,0,0.25
31,0,0.0625,0,0
32,0.125,0.0625,0.125,0.125
33,0.125,0.125,0,0
34,0,0,0.0625,0.25
35,0,0,0,0.125
37,0,0,0,0
38,0.0625,0.1875,0.125,0.125
39,0.125,0,0,0
40,0.125,0.125,0.1875,0.25